circuit,opt_level,rewrite,ref_2q,pre_2q,post_2q,ref_post_meas,post_post_meas,harm_kept
swap_storm,0,none,240,80,240,0,0,True
swap_storm,0,swap_to_3cx,240,240,240,0,0,True
swap_storm,0,identity_pad,240,80,240,0,0,True
swap_storm,0,cx_pad,240,158,318,0,0,True
swap_storm,0,decompose,240,240,240,0,0,True
swap_storm,0,relabel,240,80,240,0,0,True
swap_storm,0,combined,240,472,472,0,0,True
swap_storm,1,none,240,80,240,0,0,True
swap_storm,1,swap_to_3cx,240,240,240,0,0,True
swap_storm,1,identity_pad,240,80,240,0,0,True
swap_storm,1,cx_pad,240,158,240,0,0,True
swap_storm,1,decompose,240,240,240,0,0,True
swap_storm,1,relabel,240,80,240,0,0,True
swap_storm,1,combined,240,472,240,0,0,True
swap_storm,2,none,240,80,0,0,0,False
swap_storm,2,swap_to_3cx,240,240,240,0,0,True
swap_storm,2,identity_pad,240,80,0,0,0,False
swap_storm,2,cx_pad,240,158,0,0,0,False
swap_storm,2,decompose,240,240,240,0,0,True
swap_storm,2,relabel,240,80,0,0,0,False
swap_storm,2,combined,240,472,240,0,0,True
swap_storm,3,none,240,80,0,0,0,False
swap_storm,3,swap_to_3cx,240,240,240,0,0,True
swap_storm,3,identity_pad,240,80,0,0,0,False
swap_storm,3,cx_pad,240,158,0,0,0,False
swap_storm,3,decompose,240,240,240,0,0,True
swap_storm,3,relabel,240,80,0,0,0,False
swap_storm,3,combined,240,472,240,0,0,True
early_measure,0,none,40,40,40,40,40,True
early_measure,0,swap_to_3cx,40,40,40,40,40,True
early_measure,0,identity_pad,40,40,40,40,94,True
early_measure,0,cx_pad,40,78,78,40,72,True
early_measure,0,decompose,40,40,40,40,40,True
early_measure,0,relabel,40,40,40,40,40,True
early_measure,0,combined,40,78,78,40,182,True
early_measure,1,none,40,40,40,40,40,True
early_measure,1,swap_to_3cx,40,40,40,40,40,True
early_measure,1,identity_pad,40,40,40,40,40,True
early_measure,1,cx_pad,40,78,40,40,40,True
early_measure,1,decompose,40,40,40,40,40,True
early_measure,1,relabel,40,40,40,40,40,True
early_measure,1,combined,40,78,40,40,40,True
early_measure,2,none,40,40,40,40,40,True
early_measure,2,swap_to_3cx,40,40,40,40,40,True
early_measure,2,identity_pad,40,40,40,40,40,True
early_measure,2,cx_pad,40,78,40,40,40,True
early_measure,2,decompose,40,40,40,40,40,True
early_measure,2,relabel,40,40,40,40,40,True
early_measure,2,combined,40,78,40,40,40,True
early_measure,3,none,40,40,40,40,40,True
early_measure,3,swap_to_3cx,40,40,40,40,40,True
early_measure,3,identity_pad,40,40,40,40,40,True
early_measure,3,cx_pad,40,78,40,40,40,True
early_measure,3,decompose,40,40,40,40,40,True
early_measure,3,relabel,40,40,40,40,40,True
early_measure,3,combined,40,78,40,40,40,True
deutsch_jozsa,0,none,4,4,4,0,0,True
deutsch_jozsa,0,swap_to_3cx,4,4,4,0,0,True
deutsch_jozsa,0,identity_pad,4,4,4,0,0,True
deutsch_jozsa,0,cx_pad,4,16,16,0,0,True
deutsch_jozsa,0,decompose,4,4,4,0,0,True
deutsch_jozsa,0,relabel,4,4,4,0,0,True
deutsch_jozsa,0,combined,4,16,16,0,0,True
deutsch_jozsa,1,none,4,4,4,0,0,True
deutsch_jozsa,1,swap_to_3cx,4,4,4,0,0,True
deutsch_jozsa,1,identity_pad,4,4,4,0,0,True
deutsch_jozsa,1,cx_pad,4,16,4,0,0,True
deutsch_jozsa,1,decompose,4,4,4,0,0,True
deutsch_jozsa,1,relabel,4,4,4,0,0,True
deutsch_jozsa,1,combined,4,16,4,0,0,True
deutsch_jozsa,2,none,4,4,4,0,0,True
deutsch_jozsa,2,swap_to_3cx,4,4,4,0,0,True
deutsch_jozsa,2,identity_pad,4,4,4,0,0,True
deutsch_jozsa,2,cx_pad,4,16,4,0,0,True
deutsch_jozsa,2,decompose,4,4,4,0,0,True
deutsch_jozsa,2,relabel,4,4,4,0,0,True
deutsch_jozsa,2,combined,4,16,4,0,0,True
deutsch_jozsa,3,none,4,4,4,0,0,True
deutsch_jozsa,3,swap_to_3cx,4,4,4,0,0,True
deutsch_jozsa,3,identity_pad,4,4,4,0,0,True
deutsch_jozsa,3,cx_pad,4,16,4,0,0,True
deutsch_jozsa,3,decompose,4,4,4,0,0,True
deutsch_jozsa,3,relabel,4,4,4,0,0,True
deutsch_jozsa,3,combined,4,16,4,0,0,True
